fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2025-12-07,First Division A,2025-26,Oud-Heverlee Leuven,Waregem,1,1,4,3,2,7,1,0
2025-12-07,First Division A,2025-26,Antwerp,Genk,3,0,3,10,3,13,0,1
2025-12-07,First Division A,2025-26,Mechelen,Charleroi,1,0,7,3,1,10,0,0
2025-12-07,First Division A,2025-26,Westerlo,Anderlecht,4,0,5,9,4,14,0,1
2025-12-12,First Division A,2025-26,Standard,Oud-Heverlee Leuven,0,1,5,4,1,9,0,0
2025-12-13,First Division A,2025-26,Cercle Brugge,Mechelen,2,3,6,9,5,15,1,1
2025-12-13,First Division A,2025-26,Waregem,RAAL La Louviere,2,2,3,2,4,5,1,1
2025-12-13,First Division A,2025-26,Anderlecht,St Truiden,2,1,6,2,3,8,1,1
2025-12-14,First Division A,2025-26,Gent,Antwerp,0,2,5,1,2,6,0,0
2025-12-14,First Division A,2025-26,Dender,Club Brugge,1,5,0,3,6,3,1,1
2025-12-14,First Division A,2025-26,Charleroi,St. Gilloise,1,1,4,5,2,9,1,0
2025-12-14,First Division A,2025-26,Genk,Westerlo,1,1,9,7,2,16,1,0
2025-12-19,First Division A,2025-26,Charleroi,Genk,2,2,8,1,4,9,1,1
2025-12-20,First Division A,2025-26,Westerlo,RAAL La Louviere,2,1,4,5,3,9,1,1
2025-12-20,First Division A,2025-26,St. Gilloise,Waregem,2,0,5,3,2,8,0,0
2025-12-20,First Division A,2025-26,Dender,Standard,0,1,5,4,1,9,0,0
2025-12-21,First Division A,2025-26,Club Brugge,Gent,2,1,10,2,3,12,1,1
2025-12-21,First Division A,2025-26,St Truiden,Mechelen,1,0,2,6,1,8,0,0
2025-12-21,First Division A,2025-26,Antwerp,Anderlecht,2,2,6,5,4,11,1,1
2025-12-21,First Division A,2025-26,Oud-Heverlee Leuven,Cercle Brugge,0,2,8,7,2,15,0,0
2025-12-26,First Division A,2025-26,Genk,Club Brugge,3,5,9,2,8,11,1,1
2025-12-26,First Division A,2025-26,Cercle Brugge,St. Gilloise,1,1,4,4,2,8,1,0
2025-12-26,First Division A,2025-26,Standard,St Truiden,1,2,1,5,3,6,1,1
2025-12-26,First Division A,2025-26,Anderlecht,Charleroi,1,2,8,3,3,11,1,1
2025-12-27,First Division A,2025-26,Antwerp,Waregem,2,1,5,7,3,12,1,1
2025-12-27,First Division A,2025-26,RAAL La Louviere,Oud-Heverlee Leuven,0,0,13,5,0,18,0,0
2025-12-27,First Division A,2025-26,Mechelen,Dender,1,1,5,6,2,11,1,0
2025-12-27,First Division A,2025-26,Gent,Westerlo,2,0,4,3,2,7,0,0
2026-01-16,First Division A,2025-26,Club Brugge,RAAL La Louviere,2,3,2,7,5,9,1,1
2026-01-17,First Division A,2025-26,St. Gilloise,Mechelen,1,0,7,0,1,7,0,0
2026-01-17,First Division A,2025-26,Westerlo,Cercle Brugge,0,2,7,4,2,11,0,0
2026-01-17,First Division A,2025-26,Waregem,Genk,2,1,4,0,3,4,1,1
2026-01-18,First Division A,2025-26,Gent,Anderlecht,4,2,9,8,6,17,1,1
2026-01-18,First Division A,2025-26,Dender,Antwerp,1,0,2,5,1,7,0,0
2026-01-18,First Division A,2025-26,Charleroi,Standard,2,0,7,9,2,16,0,0
2026-01-18,First Division A,2025-26,St Truiden,Oud-Heverlee Leuven,1,0,2,3,1,5,0,0
2026-01-23,First Division A,2025-26,Standard,Gent,0,4,8,4,4,12,0,1
2026-01-24,First Division A,2025-26,RAAL La Louviere,St Truiden,1,2,6,5,3,11,1,1
2026-01-24,First Division A,2025-26,Club Brugge,Waregem,4,3,7,0,7,7,1,1
2026-01-24,First Division A,2025-26,Oud-Heverlee Leuven,St. Gilloise,0,0,4,9,0,13,0,0
2026-01-25,First Division A,2025-26,Antwerp,Charleroi,0,2,4,6,2,10,0,0
2026-01-25,First Division A,2025-26,Genk,Cercle Brugge,1,1,4,2,2,6,1,0
2026-01-25,First Division A,2025-26,Anderlecht,Dender,0,0,6,6,0,12,0,0
2026-01-25,First Division A,2025-26,Mechelen,Westerlo,1,1,9,5,2,14,1,0
2026-01-30,First Division A,2025-26,RAAL La Louviere,Gent,1,1,6,5,2,11,1,0
2026-01-31,First Division A,2025-26,St Truiden,Charleroi,0,2,6,6,2,12,0,0
2026-01-31,First Division A,2025-26,Waregem,Westerlo,0,1,7,3,1,10,0,0
2026-01-31,First Division A,2025-26,Cercle Brugge,Antwerp,0,4,2,5,4,7,0,1
2026-02-01,First Division A,2025-26,Standard,Anderlecht,2,0,9,4,2,13,0,0
2026-02-01,First Division A,2025-26,Dender,Genk,1,2,8,2,3,10,1,1
2026-02-01,First Division A,2025-26,St. Gilloise,Club Brugge,1,0,5,5,1,10,0,0
2026-02-01,First Division A,2025-26,Oud-Heverlee Leuven,Mechelen,2,2,7,5,4,12,1,1
2026-02-06,First Division A,2025-26,Westerlo,St Truiden,0,4,6,5,4,11,0,1
2026-02-07,First Division A,2025-26,Waregem,Dender,1,0,6,1,1,7,0,0
2026-02-07,First Division A,2025-26,Charleroi,Cercle Brugge,3,4,6,3,7,9,1,1
2026-02-07,First Division A,2025-26,Gent,Oud-Heverlee Leuven,1,3,6,5,4,11,1,1
2026-02-08,First Division A,2025-26,Genk,Anderlecht,2,0,5,7,2,12,0,0
2026-02-08,First Division A,2025-26,St. Gilloise,RAAL La Louviere,2,1,9,1,3,10,1,1
2026-02-08,First Division A,2025-26,Club Brugge,Standard,3,0,7,0,3,7,0,1
2026-02-08,First Division A,2025-26,Mechelen,Antwerp,2,0,3,6,2,9,0,0
2026-02-13,First Division A,2025-26,Mechelen,Genk,2,3,2,4,5,6,1,1
2026-02-14,First Division A,2025-26,Standard,St. Gilloise,1,1,3,5,2,8,1,0
2026-02-14,First Division A,2025-26,Charleroi,Gent,2,3,12,4,5,16,1,1
