fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2016-10-22,Ligue 1,2016-17,Lille,Bastia,2,1,8,4,3,12,1,1
2016-10-22,Ligue 1,2016-17,Lyon,Guingamp,1,3,9,5,4,14,1,1
2016-10-22,Ligue 1,2016-17,Bordeaux,Nancy,1,1,5,4,2,9,1,0
2016-10-22,Ligue 1,2016-17,Dijon,Lorient,1,0,5,5,1,10,0,0
2016-10-22,Ligue 1,2016-17,Angers,Toulouse,0,0,4,2,0,6,0,0
2016-10-23,Ligue 1,2016-17,Caen,St Etienne,0,2,4,5,2,9,0,0
2016-10-23,Ligue 1,2016-17,Metz,Nice,2,4,4,3,6,7,1,1
2016-10-23,Ligue 1,2016-17,Paris SG,Marseille,0,0,9,0,0,9,0,0
2016-10-28,Ligue 1,2016-17,Lille,Paris SG,0,1,2,4,1,6,0,0
2016-10-29,Ligue 1,2016-17,Toulouse,Lyon,1,2,3,2,3,5,1,1
2016-10-29,Ligue 1,2016-17,Nancy,Caen,2,0,4,3,2,7,0,0
2016-10-29,Ligue 1,2016-17,St Etienne,Monaco,1,1,4,9,2,13,1,0
2016-10-29,Ligue 1,2016-17,Guingamp,Angers,1,0,7,5,1,12,0,0
2016-10-29,Ligue 1,2016-17,Bastia,Dijon,0,0,13,5,0,18,0,0
2016-10-29,Ligue 1,2016-17,Lorient,Montpellier,2,2,5,5,4,10,1,1
2016-10-30,Ligue 1,2016-17,Marseille,Bordeaux,0,0,3,0,0,3,0,0
2016-10-30,Ligue 1,2016-17,Nice,Nantes,4,1,2,4,5,6,1,1
2016-10-30,Ligue 1,2016-17,Rennes,Metz,1,0,3,4,1,7,0,0
2016-11-04,Ligue 1,2016-17,Montpellier,Marseille,3,1,1,5,4,6,1,1
2016-11-05,Ligue 1,2016-17,Nantes,Toulouse,1,1,6,2,2,8,1,0
2016-11-05,Ligue 1,2016-17,Angers,Lille,1,0,2,3,1,5,0,0
2016-11-05,Ligue 1,2016-17,Bordeaux,Lorient,2,1,4,7,3,11,1,1
2016-11-05,Ligue 1,2016-17,Dijon,Guingamp,3,3,6,3,6,9,1,1
2016-11-05,Ligue 1,2016-17,Lyon,Bastia,2,1,9,3,3,12,1,1
2016-11-05,Ligue 1,2016-17,Monaco,Nancy,6,0,4,6,6,10,0,1
